username,tweet,date
AEPishere,"RT @RizmaWidiono: Prabowo: Saya Mengutuk Radikalisme, Tidak Boleh Ada di Indonesia  Teriaknya kudu lebih kenceng Jenderal, biar kedengeran…",29/10/2019 06:38
ipungelaja,@FerdinandHaean2 Nggak ada yg dia nyinyirin selain @prabowo dan @aniesbaswedan . Waktunya habis buat mikirin beliau berdua.. mungkin saking cintanya ya fer?,29/10/2019 06:38
TeqillaSunrice1,"@bangzul_88 @jokowi @Puspen_TNI @DivHumas_Polri @prabowo @mohmahfudmd @erickthohir di awali mulut mulut ustad yang kotor dan ormas"" garis keras seperti FPI HTI yang membuat PapUa Bergejolak part 5#RadikalKepanasan https://t.co/IXoYXpK44d",29/10/2019 06:38
Rakyat_OP05151,RT @Maulinaantika3: Tugas Utama @prabowo Bersihkan Kutil Babi Sampah Demokrasi🙏 https://t.co/A1yA8MSgU2,29/10/2019 06:38
basoamir,RT @Maulinaantika3: Maaf Lain Kali Pak @Kemenag_RI Pidato Seperti Ini Wajibnya Tidak Dipublikasi Kepublik  Sampaikan Di Internal Agamanya M…,29/10/2019 06:38
kiasarih,@JoRiky @Kemhan_RI @prabowo Mana berani mimin sama pak menhan😅,29/10/2019 06:37
Edipurw61113168,"RT @NongNayara: Mobil DINAS di akui sebagai milik pribadi itu buanyakkkk Tapi klo MOBIL PRIBADI DI JADIKAN SEBAGAI MOBIL DINAS, DIPASANGI P…",29/10/2019 06:37
MrHartono2,@elHurryKoRn @jokowi @mohmahfudmd @prabowo,29/10/2019 06:37
KalaBudi1,sejak slof @prabowo hadir lemari (kecil) @jokowi | bengkarung padang pasir makin kepelikan merusak Negara Kesatuan Republik Indonesia v arsenik khilafah ISIS mereka #RadikalKepanasan #RadikalKepanasan,29/10/2019 06:37
Arie26Ahmad,RT @DheaMerlinda: Pak @prabowo tdk memakai fasilitas Negara.Gaji sebagai Menhan tdk d ambil. seperti kata Gus Dur : org yg Ikhlas utk Negar…,29/10/2019 06:37
RezaWtp,"@Kemhan_RI @prabowo @univ_pertahanan Wkwkwkwk kementrian akun resmi kementrian paling disukai,paling banyak di retwet hebat prabowo",29/10/2019 06:37
PutriFerenisa,Semenjak Pak @Prabowo suk kabnet @Jokowi | Kadal Gurun smkn kesulitan merusakk NKRI melalui racun Khilafah ISIS mreka #RadikalKepanasan #RadikalKepanasan,29/10/2019 06:37
sasauw_nelson,@Gerindra @prabowo @Edhy_Prabowo BAIKNYA PROGRAM BANTUAN CUMA2 DITIADAKAN SEBB TDK MENJADIKAN NELAYAN.MANDIRI .BAGAIMANA NELAYAN TRADISIONAL JADI NELAYAN PROVESIONAL SEKALI KELUARKAN BIAYA NELAYAN BERKEMBANG TERUS.,29/10/2019 06:37
MajediIlham,"RT @Kata_Hatiku88: Pesan Dari Bapak @prabowo Nich Khususnya Untuk Anak-Anak Muda Indonesia.....""  👉Klo kamu tidak bisa Berbuat Banyak Berbu…",29/10/2019 06:36
luaysyhab,RT @Aryprasetyo85: Mohon dgn SANGAT Perhatian Bpk @prabowo jg Bpk @jokowi  Supaya Fikri bisa sekolah lagi  Begini Nasib Santri yang Ramal P…,29/10/2019 06:36
jinarsaskara,RT @bangzul_88: Mantappppp... Ribuan Laskar Ronggolawe Bersiap Bubarkan Musda FPI di Tegal  Cc @prabowo @mohmahfudmd @Kemenag_RI @PolhukamR…,29/10/2019 06:35
nor_fitriah,Semenjak Pak @Prabowo msk kabnet @Jokowi | Kadal Gurun semkn kesulitan merusakk NKRI melalui racun Khilafah ISIS mrk #RadikalKepanasan #RadikalKepanasan,29/10/2019 06:35
InsomniaMan1,@JKDaulay @YohanesPatty2 @prabowo 😄😄😄,29/10/2019 06:35
rudiabdedey,RT @DheaMerlinda: Pesan Bpk Menhan RI @prabowo  Belajar.....Belajar.....Belajar  Jangan pernah berhenti Belajar. Karena hidup tidak berhent…,29/10/2019 06:35
nuinugraha,@RizmaWidiono @prabowo bukan pendukung tapi penunggang..,29/10/2019 06:35
zarazettirazr,@kenmiryam @prabowo @TitiekSoeharto Mbaaaa hahahahaha,29/10/2019 06:35
ncekmadur,"RT @Kata_Hatiku88: Pesan Dari Bapak @prabowo Nich Khususnya Untuk Anak-Anak Muda Indonesia.....""  👉Klo kamu tidak bisa Berbuat Banyak Berbu…",29/10/2019 06:35
ardi_riau2,@prabowo kapan ya melibatkan relawan 02 untuk membantu tugas2 dia?.  #MinangTolakFaldoMaldini   https://t.co/PZ8yOgzQxs,29/10/2019 06:35
LanangJ98488522,"RT @RizmaWidiono: Prabowo: Saya Mengutuk Radikalisme, Tidak Boleh Ada di Indonesia  Teriaknya kudu lebih kenceng Jenderal, biar kedengeran…",29/10/2019 06:35
burungpombo,cc @prabowo https://t.co/ug1BtXg3Ii,29/10/2019 06:35
RenaldiUsmani,Semenjak Pak @Prabowo masuk kabinet @Jokowi | Kadal Gurun semakin kesulitan merusak NKRI melalui racun Khilafah ISIS mereka #RadikalKepanasan #RadikalKepanasan,29/10/2019 06:35
Cut3P4nd4,RT @DadaDk4: Menhan @prabowo 🇮🇩👆 #WamenPemborosanAnggaran https://t.co/u4oKQk9UId https://t.co/JDM74XVQBj,29/10/2019 06:34
johnhendri2016,RT @DheaMerlinda: Pesan Bpk Menhan RI @prabowo  Belajar.....Belajar.....Belajar  Jangan pernah berhenti Belajar. Karena hidup tidak berhent…,29/10/2019 06:34
nuraliaamir,sejak peti kemas @prabowo terbenam lemari (kecil) @jokowi | cecak tanah tanah kian teka-teki merusak Negara Kesatuan Republik Indonesia v arsenik khilafah ISIS mereka #RadikalKepanasan #RadikalKepanasan,29/10/2019 06:34
